Country or Area;Commodity - Transaction;Year;Unit;Quantity;Quantity Footnotes;Kmq;Continents
Algeria;Electricity - total wind production;2018;Kilowatt-hours, million;84;1;2381741;Africa
Algeria;Electricity - total wind production;2017;Kilowatt-hours, million;68;1;2381741;Africa
Algeria;Electricity - total wind production;2016;Kilowatt-hours, million;19;;2381741;Africa
Algeria;Electricity - total wind production;2015;Kilowatt-hours, million;19;;2381741;Africa
Argentina;Electricity - total wind production;2019;Kilowatt-hours, million;4996;;2780272;South America
Argentina;Electricity - total wind production;2018;Kilowatt-hours, million;1413;;2780272;South America
Argentina;Electricity - total wind production;2017;Kilowatt-hours, million;612;;2780272;South America
Argentina;Electricity - total wind production;2016;Kilowatt-hours, million;547;;2780272;South America
Argentina;Electricity - total wind production;2015;Kilowatt-hours, million;599;;2780272;South America
Argentina;Electricity - total wind production;2014;Kilowatt-hours, million;619;;2780272;South America
Argentina;Electricity - total wind production;2013;Kilowatt-hours, million;461;;2780272;South America
Argentina;Electricity - total wind production;2012;Kilowatt-hours, million;369;;2780272;South America
Argentina;Electricity - total wind production;2011;Kilowatt-hours, million;26;;2780272;South America
Argentina;Electricity - total wind production;2010;Kilowatt-hours, million;25;;2780272;South America
Argentina;Electricity - total wind production;2009;Kilowatt-hours, million;36;;2780272;South America
Argentina;Electricity - total wind production;2008;Kilowatt-hours, million;42;;2780272;South America
Argentina;Electricity - total wind production;2007;Kilowatt-hours, million;61;;2780272;South America
Argentina;Electricity - total wind production;2006;Kilowatt-hours, million;70;;2780272;South America
Argentina;Electricity - total wind production;2005;Kilowatt-hours, million;75;;2780272;South America
Argentina;Electricity - total wind production;2004;Kilowatt-hours, million;72;;2780272;South America
Argentina;Electricity - total wind production;2003;Kilowatt-hours, million;78;;2780272;South America
Argentina;Electricity - total wind production;2002;Kilowatt-hours, million;73;;2780272;South America
Argentina;Electricity - total wind production;2001;Kilowatt-hours, million;49;;2780272;South America
Argentina;Electricity - total wind production;2000;Kilowatt-hours, million;35;;2780272;South America
Argentina;Electricity - total wind production;1999;Kilowatt-hours, million;35;;2780272;South America
Argentina;Electricity - total wind production;1998;Kilowatt-hours, million;33;;2780272;South America
Argentina;Electricity - total wind production;1997;Kilowatt-hours, million;15;;2780272;South America
Argentina;Electricity - total wind production;1996;Kilowatt-hours, million;10;;2780272;South America
Armenia;Electricity - total wind production;2018;Kilowatt-hours, million;1881;;29800;Asia
Armenia;Electricity - total wind production;2017;Kilowatt-hours, million;21;;29800;Asia
Armenia;Electricity - total wind production;2016;Kilowatt-hours, million;2;;29800;Asia
Armenia;Electricity - total wind production;2015;Kilowatt-hours, million;3;;29800;Asia
Armenia;Electricity - total wind production;2014;Kilowatt-hours, million;4;;29800;Asia
Armenia;Electricity - total wind production;2013;Kilowatt-hours, million;4;;29800;Asia
Armenia;Electricity - total wind production;2012;Kilowatt-hours, million;4;;29800;Asia
Armenia;Electricity - total wind production;2011;Kilowatt-hours, million;6;;29800;Asia
Armenia;Electricity - total wind production;2010;Kilowatt-hours, million;7;;29800;Asia
Armenia;Electricity - total wind production;2009;Kilowatt-hours, million;4;;29800;Asia
Armenia;Electricity - total wind production;2008;Kilowatt-hours, million;2;;29800;Asia
