Country or Area;Commodity - Transaction;Year;Unit;Quantity;Quantity Footnotes;Kmq;Continents
Afghanistan;Electricity - total solar production;2019;Kilowatt-hours, million;2077;;647500;Asia
Algeria;Electricity - total solar production;2018;Kilowatt-hours, million;62;1;2381741;Africa
Algeria;Electricity - total solar production;2017;Kilowatt-hours, million;50;1;2381741;Africa
Algeria;Electricity - total solar production;2016;Kilowatt-hours, million;14;;2381741;Africa
Algeria;Electricity - total solar production;2015;Kilowatt-hours, million;58;;2381741;Africa
American Samoa;Electricity - total solar production;2019;Kilowatt-hours, million;48;1;199;Oceania
American Samoa;Electricity - total solar production;2018;Kilowatt-hours, million;4832;;199;Oceania
American Samoa;Electricity - total solar production;2017;Kilowatt-hours, million;4832;;199;Oceania
American Samoa;Electricity - total solar production;2016;Kilowatt-hours, million;292;;199;Oceania
American Samoa;Electricity - total solar production;2015;Kilowatt-hours, million;235;;199;Oceania
American Samoa;Electricity - total solar production;2014;Kilowatt-hours, million;237;;199;Oceania
American Samoa;Electricity - total solar production;2013;Kilowatt-hours, million;2419;;199;Oceania
American Samoa;Electricity - total solar production;2012;Kilowatt-hours, million;1409;;199;Oceania
American Samoa;Electricity - total solar production;2011;Kilowatt-hours, million;0;;199;Oceania
Andorra;Electricity - total solar production;2019;Kilowatt-hours, million;12;1;468;Europa
Andorra;Electricity - total solar production;2018;Kilowatt-hours, million;9;1;468;Europa
Andorra;Electricity - total solar production;2017;Kilowatt-hours, million;7;;468;Europa
Andorra;Electricity - total solar production;2016;Kilowatt-hours, million;3;;468;Europa
Andorra;Electricity - total solar production;2015;Kilowatt-hours, million;2;;468;Europa
Andorra;Electricity - total solar production;2014;Kilowatt-hours, million;2;;468;Europa
Angola;Electricity - total solar production;2018;Kilowatt-hours, million;18;;1246700;Africa
Angola;Electricity - total solar production;2017;Kilowatt-hours, million;18;;1246700;Africa
Angola;Electricity - total solar production;2016;Kilowatt-hours, million;18;;1246700;Africa
Angola;Electricity - total solar production;2015;Kilowatt-hours, million;18;;1246700;Africa
Angola;Electricity - total solar production;2014;Kilowatt-hours, million;17;;1246700;Africa
Angola;Electricity - total solar production;2013;Kilowatt-hours, million;15;;1246700;Africa
